physName,comment,commentDate,ratingStaff,ratingPunctuality,ratingHelpfulness,ratingKnowledge
Dr. Nabil Malak,"I have been dealing with the Qc healthcare system since 2011, being treated like a number, feeling like my life didn't mater and I felt worthless until I was referred to Dr Malak in the Fall 2015. He was my savior in so many ways. He really made me feel like he cared and that I mattered. He made me feel like I was worth his time and effort. I had my surgery in May 2016 and I was overwhelmed with the way I was treated by the staff in the surgery room. It almost felt like I was at a spa, music in my ears, heated cover, leg massager, etc... Dr. Malak was the best surgeon I have ever had. He not only took care of my physical health, he also took great care of my mental health without really knowing he was. The way he treated his patient had a great impact on their recovery. I was very saddened this week when I heard that he had passed. I will really miss him. My sincere condolences to his family, colleagues and to his patients as well. Shukraan xx","July 6, 2017",5,5,5,5
Dr. Nabil Malak,R.I.P HE WAS THE BEST DOCTOR I'VED KNOWN I MISSED HIM ALOT 🙏,"June 30, 2017",5,5,5,5
Dr. Nabil Malak,"He successfully operated my husband, he was so kind, so patient, an angel, he will be missed, thank you dear DR Malak xox","June 21, 2017",5,5,5,5
Dr. Nabil Malak,I will miss you doctor thy for all the operation you did for me. R i. P.,"June 15, 2017",5,5,5,5
Dr. Nabil Malak,"The best surgeon and Doctor they had at HGH. He will be dearly missed by staff and so many patients. RIP, you deserve the rest, you did so much good to all.","June 14, 2017",5,5,5,5
Dr. Nabil Malak,"Amazing doctor, patient, gentle, devoted to his patients. Wonderful person.","June 14, 2017",5,5,5,5
Dr. Nabil Malak,"Dr malak has soooo much patience, is soft spoken and will take time to listen to everything you have to say. I felt at ease with him, he was always smiling and positive. I recommend this doctor to anyone who is stressed out about having anything from colonoscopies to surgeries. He is absolutely wonderful!","May 17, 2017",5,5,5,5
Dr. Nabil Malak,"We are so fortunate to have Dr. Malak taking care of my mother. We just had a consultation with him. He was so understanding and kind my instinct was to give him a hug as we were leaving.....I wish he could be my all the time Dr. My Mum also thought he was wonderful! What a lovely gentleman. The appointment started off very well with Karen taking down all Mum's information and getting her set up with her appointment. What a great team they make. Thank you Karen, thank you Dr. Malak","October 16, 2015",5,5,5,5
Dr. Nabil Malak,"Very nice and good doctor, did a hemmorroids surgery that healed very well! thanks","April 16, 2015",5,5,5,5
Dr. Nabil Malak,"I have had surgery done twice by Dr Malak and found him to be knowledgeable, kind and thoughtful, and very competent. If I ever need surgery again I would definitely want him to do it!","January 12, 2015",5,3,5,5
Dr. Nabil Malak,"Only one thing can describe, the best surgeon and the man most human ... Benoit Sirois Thurso Qc","February 21, 2013",5,5,5,5
Dr. Phil Inouye,"I must say among all physians whom I have dealt with, Dr Inouye is the best in all aspects. Not only does he listen to you attentatively but also patiently answer every single question you ask. Some physians may be very politie, but you don't get the ""genuine"" feelings from them. Brenda, the secretary, is also extremely helpful. I completely got the nasty gastrorelux under control by Dr Inouye. Thank you Dr Inouye!","August 9, 2017",1,1,1,1
Dr. Phil Inouye,Very knowledgeable and helpful. I feel like he truly cares about me as a patient. Brenda at reception is wonderful too.,"July 12, 2017",5,5,5,5
Dr. Phil Inouye,"I have had him as my Doctor for over 8 years now and he pretty much saved my life at the beginning of it all. During my diagnosis he answered every single one of mine and my families questions (even the stupid ones) and he never once made me feel dumb or unintelligent. He explained everything in great detail (scientifically and basically) on many occasions and has extremely good bed side manner. I felt like I was in very good hands during the whole process, and I still do to this day! He takes his time with me, making me feel like he cares about my well being. I don't think i have anything bad to say about him. Thank you Dr. Inouye!","March 30, 2017",5,5,5,5
Dr. Phil Inouye,"Not personable, actually quite skittish. I had to fire him. Too bad... He had such good ratings.","February 23, 2017",5,5,2,4
Dr. Phil Inouye,"This doctor is highly regarded in the community and received all kind of praises on this website. My overall experience is very different - I saw very little care from him and his staff, which is not surprising considering his practice, is run as a very shrewd business. 
After waiting for over 2 years after my doctor’s referral, I got my first rendezvous with him. He was attentive while making promises to resolve my situation with long-term abdominal pain. He booked me for colonoscopy even though my last one was fairly recent. 
After colonoscopy and also endoscopy his attitude changed drastically he was no longer caring and practically became dismissive. He was not able to provide me with diagnosis; not exactly gently hinting that I need to loose weight (I am very far from being fat) as well as pushing the pills that I clearly indicated to him were not working for me. He just did not care!
Even though after all expensive tests our last conversation did not provide me with any clues into my condition nor offered me any helpful tips how to manage the pain, I was still hoping that I can at least see him if things get worse. No such luck – his door is even more firmly shut than before: no more new referrals for anyone and his existing patients need to go through family doctor first and provide him with paperwork before he considers to see them again. I had been “fortunate” to see him in his office 2 times and was the only person in his waiting room – there was nobody else waiting for the appointment (this is with the waiting time of more than 2 years). My conclusion is very simple – this doctor is only interested in being paid for expensive procedures (tests, surgeries). He feels no obligation to check on his patients’ condition and will damp you as soon as all tests are done, especially if no expensive surgeries are needed. Considering the lack of specialists in the area, his “business” will continue to thrive while his not so profitable patients continue to suffer.","January 5, 2017",1,1,1,1
Dr. Phil Inouye,"I wish I would have got this doctor for my colonoscopy had no problem 5 years ago but I end up getting a real quack this time and I'm still suffering,","November 1, 2016",4,4,4,4
Dr. Phil Inouye,"I really lucked out with Dr. Inouye! He was the treating physician in the ER for me about 5 years ago and immediately put me at ease (and made the nurse give me the right amount of painkiller!) I'd had a couple of colonoscopies that didn't exactly leave me jazzed (one of them was with a doctor that made the news...and not in a good way). He knocked me out and when I woke up, it was all over, no residual pain, no bleeding, nothing at all. He admitted me to the hospital and I was nervous about taking steroids to get my UC under control but he took the time to explain everything and reassure me that I wouldn't suffer any long-term effects. He kept me as a patient and I've seen him a couple of times a year since then. Very kind, very knowledgeable, polite, really listens to you...and not hard to look at (that's just a bonus) and his staff are just treasures! Very accommodating, professional but warm and friendly.","May 2, 2016",5,5,5,5
Dr. Phil Inouye,"I am so grateful for this caring and expert gastroenterologist. I have never felt better. I knew I was in good hands when I went in for my first colonoscopy and the surgical nurse at QCH whispered to me ""He is the best... you have nothing to worry about"". His nurse/receptionist is lovely and kind too.","February 9, 2016",5,5,5,5
Dr. Phil Inouye,Best doctor for gluten issues or gastric issues. Always professional and on time.,"February 2, 2016",5,5,5,5
Dr. Phil Inouye,"In April 2015 I had a bleeding artery. I lost 2 liters of blood in the emergency room and fell unconscious before Dr Inouye was called in. He saved my life! His amazing skills stopped the bleeding, repaired the rupture, infused me with fluids, and I was discharged in 10 days. The nurses at the General and the QCH were the best. The ER at QCH not so much. Many thanks to all.","January 6, 2016",5,5,5,5
Dr. Niculina Mariana Margulies,"Can say I enjoyed the procedure, but she was competent and I would recommend her!","July 2, 2017",5,5,5,5
Dr. Niculina Mariana Margulies,"Excellent Doctor! Took the time to explain and review the results, very knowledgeable and well prepared. Exceptional Physician","April 30, 2017",5,4,5,5
Dr. Niculina Mariana Margulies,I was exceptionally fortunate to be referred to Dr. Margulies. She is a very exceptional physician and diagnostician. Dr. Margulies is the Sherlock Holmes of gastroenterology. I would not hesitate to recommend her.,"February 9, 2017",4,4,5,5
Dr. Niculina Mariana Margulies,"Dr. Margulies made my first colonoscopy almost pleasant! She was caring and took the time to explain the procedure and risks, as well as the need for regular screenings (I am high risk due to family history of colon cancer) and she alleviated any of the fears I had. Highly recommended.","January 7, 2017",5,5,5,5
Dr. Niculina Mariana Margulies,"Dr. Margulies is very kind, professional, skilled and knowledgeable. She takes very good care of her patients and takes the time to explain every detail. The staff is also very kind and helpful. Dr Margulies along with the anesthesiologist and the nurse made my colonoscopy experience, excellent. I did not feel any pain or cramps at all. When I woke up after the procedure I was expecting to have some cramps or pain, but I did not feel a thing. Thank you.","December 22, 2016",5,5,5,5
Dr. Niculina Mariana Margulies,"This is the 3rd colonoscopy I've had at UCLBC and the staff, especially the nurses, are so caring and kind. The atmosphere is very professional, yet so calming. This was the first time I had Dr. Margulies and I can't say enough wonderful things about her. I was quite nervous this time around and she took her time and was so thorough in explaining everything, including possible outcomes and what steps she would take. So gentle, as well, which is a huge bonus. Best part was her ensuring me she would continue to see me as a patient, if needed.","April 28, 2016",5,5,5,5
Dr. Niculina Mariana Margulies,She was born to be a doctor. EXCELLENT professional and as a human being,"March 8, 2016",5,5,5,5
Dr. Niculina Mariana Margulies,"There is a reason why Dr. Niculina Mariana Margulies is rated # 1 .She is kind, informative, patient and knowledgeable. Her staff are responsive and compassionate. I would highly recommend her, and her wonderful staff.","December 16, 2015",5,5,5,5
Dr. Niculina Mariana Margulies,"Having put off my scope for years, i was extremely lucky getting the recommendation for Dr. Marguilies. scope was perfect, and her follow up when results were in....were great!!!","November 4, 2015",5,5,5,5
Dr. Niculina Mariana Margulies,Difficult to get through to speak to someone on the telephone. Dr. Margulies is the most gentle person for a colonoscopy. I don't even feel anything when she does it. I really like her and think that she cares.,"October 21, 2015",4,3,5,5
Dr. Niculina Mariana Margulies,Definitely deserves to be named one of the top Toronto GEs.,"August 17, 2015",5,5,5,5
Dr. Niculina Mariana Margulies,"Dr. Margulies is extremely kind and professional. I was really scared about the gastroscopy and the colonoscopy, but I had a very smooth and nice experience having them done by Dr. Margulies. She also explained me everything in detail and I am really grateful to my family doctor that he referred me to her. She is not only very knowledgeable, but her endoscopy skills are amazing. If you need a gastroenterologist, I highly recommend her.","April 9, 2015",5,5,5,5
Dr. Niculina Mariana Margulies,"This doctor is kind, helpful, supportive, and highly knowledgeable in her field. She is highly professional and skilled and I would recommend her to anyone needing a gastroenterologist. Unfortunately, the secretaries are often rude and disrespectful.","April 25, 2014",1,4,5,5
Dr. Niculina Mariana Margulies,"Dr. Niculina M. Margulies is highly competent, dedicated to her patient's welfare and has a positive attitude to her work, which makes gastroenterology visits that much more accomodating. Highly recommend this gifted specialist to any / all requiring a gastroenterology consult. The Upper Canada Bowel Clinic staff are courteous, professional, the premises immaculate and well-kept up, and breed a very accomodating service-orentation during visits: the patient always feels they are #1. Highly recommended.","July 25, 2013",5,5,5,5
Dr. Niculina Mariana Margulies,"Dr. Margulies is extremely professional, kind and caring with her patients. She takes her time to explain the medical procedure so patients are informed about what's going on. I would recommend her to anyone in need for a GI exam. An outstanding MD!","January 2, 2013",5,5,5,5
Dr. Niculina Mariana Margulies,"My mom had a colonoscopy done and everything went smoothly. Dr. Margulies was very nice and explained the procedure and the results. The only negative thing is that the resting area isn't private, but her overall experience was very good.","March 6, 2012",5,4,5,5
